Entity,Currency,Currency Code,Numeric Code,Minor Unit,Withdrawal Date,Flag
CYPRUS,Cyprus Pound,CYP,196,,2008-01,🇨🇾
CYPRUS,Euro,EUR,978,2,,🇪🇺
CZECHIA,Czech Koruna,CZK,203,2,,🇨🇿
CZECHOSLOVAKIA,Krona A/53,CSJ,203,,1989 to 1990,🇨🇿
CZECHOSLOVAKIA,Koruna,CSK,200,,1993-03,🇨🇿
DEMOCRATIC REPUBLIC OF THE CONGO,Congolese Franc,CDF,976,2,,🇨🇩
DENMARK,Danish Krone,DKK,208,2,,🇩🇰
DJIBOUTI,Djibouti Franc,DJF,262,0,,🇩🇯
DOMINICA,East Caribbean Dollar,XCD,951,2,,🇩🇲
DOMINICAN REPUBLIC,Dominican Peso,DOP,214,2,,🇩🇴
ECUADOR,Sucre,ECS,218,,2000-09,🇪🇨
ECUADOR,Unidad de Valor Constante (UVC),ECV,983,,2000-09,🇪🇨
ECUADOR,US Dollar,USD,840,2,,🇺🇸
EGYPT,Egyptian Pound,EGP,818,2,,🇪🇬
EL SALVADOR,El Salvador Colon,SVC,222,2,,🇸🇻
EL SALVADOR,US Dollar,USD,840,2,,🇺🇸
EQUATORIAL GUINEA,Ekwele,GQE,226,,1986-06,🇬🇶
EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950,0,,🇬🇶
ERITREA,Nakfa,ERN,232,2,,🇪🇷
ESTONIA,Kroon,EEK,233,,2011-01,🇪🇪
ESTONIA,Euro,EUR,978,2,,🇪🇺
ESWATINI,Lilangeni,SZL,748,2,,🇸🇿
ETHIOPIA,Ethiopian Birr,ETB,230,2,,🇪🇹
EUROPEAN MONETARY CO-OPERATION FUND (EMCF),European Currency Unit (E.C.U),XEU,954,,1999-01,🇪🇺
EUROPEAN UNION,Euro,EUR,978,2,,🇪🇺
FALKLAND ISLANDS,Falkland Islands Pound,FKP,238,2,,🇫🇰
FAROE ISLANDS,Danish Krone,DKK,208,2,,🇩🇰
FIJI,Fiji Dollar,FJD,242,2,,🇫🇯
FINLAND,Euro,EUR,978,2,,🇪🇺
FINLAND,Markka,FIM,246,,2002-03,🇫🇮
FRANCE,Euro,EUR,978,2,,🇪🇺
FRANCE,French Franc,FRF,250,,2002-03,🇫🇷
FRENCH GUIANA,Euro,EUR,978,2,,🇪🇺
FRENCH GUIANA,French Franc,FRF,250,,2002-03,🇫🇷
FRENCH POLYNESIA,CFP Franc,XPF,953,0,,🇫🇷
FRENCH SOUTHERN TERRITORIES,Euro,EUR,978,2,,🇪🇺
FRENCH SOUTHERN TERRITORIES,French Franc,FRF,250,,2002-03,🇫🇷
GABON,CFA Franc BEAC,XAF,950,0,,🇬🇦
GAMBIA,Dalasi,GMD,270,2,,🇬🇲
GEORGIA,Georgian Coupon,GEK,268,,1995-10,🇬🇪
GEORGIA,Lari,GEL,981,2,,🇬🇪
GEORGIA,Russian Ruble,RUR,810,,1994-04,🇷🇺
GERMAN DEMOCRATIC REPUBLIC,Mark der DDR,DDM,278,,1990-07 to 1990-09,🇩🇪
GERMANY,Deutsche Mark,DEM,276,,2002-03,🇩🇪
GERMANY,Euro,EUR,978,2,,🇪🇺
